time,amount,category,location,note
2024-01-01 10:30:00,50.5,餐饮,北京市朝阳区,午餐
2024-01-02 15:20:00,200,购物,上海市浦东新区,衣服
2024-01-03 09:15:00,30,交通,北京市海淀区,地铁
2024-01-04 12:00:00,85.5,餐饮,北京市朝阳区,晚餐
2024-01-05 18:30:00,150,娱乐,北京市东城区,电影
2024-01-06 14:20:00,300,购物,上海市黄浦区,鞋子
2024-01-07 08:45:00,25,交通,北京市西城区,公交
2024-01-08 11:30:00,65,餐饮,北京市朝阳区,午餐
2024-01-09 16:00:00,180,娱乐,北京市海淀区,KTV
2024-01-10 13:15:00,95,餐饮,上海市浦东新区,火锅
2024-01-11 10:00:00,500,购物,北京市朝阳区,电子产品
2024-01-12 19:30:00,120,餐饮,北京市东城区,日料
2024-01-13 15:45:00,80,娱乐,上海市徐汇区,咖啡
2024-01-14 09:30:00,35,交通,北京市朝阳区,打车
2024-01-15 12:20:00,75,餐饮,北京市海淀区,快餐
2024-01-16 17:00:00,250,购物,上海市静安区,化妆品
2024-01-17 11:00:00,90,餐饮,北京市西城区,西餐
2024-01-18 14:30:00,160,娱乐,北京市朝阳区,健身
2024-01-19 10:15:00,45,交通,上海市浦东新区,地铁
2024-01-20 13:00:00,110,餐饮,北京市东城区,烧烤

